No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,Player-additional
22,Slater Martin,PG,5-10,170,October 22 1925,us,3,Texas,martisl01
99,George Mikan,C,6-10,245,June 18 1924,us,4,DePaul,mikange01
19,Vern Mikkelsen,PF,6-7,230,October 21 1928,us,3,Hamline University,mikkeve01
17,Jim Pollard,SF,6-4,185,July 9 1922,us,4,Stanford,pollaji01
18,Pep Saul,SG,6-2,185,February 16 1924,us,3,Seton Hall,saulpe01
,Dick Schnittker,F,6-5,200,May 27 1928,us,1,Ohio State,schnidi01
15,Howie Schultz,PF,6-6,200,July 3 1922,us,2,Hamline University,schulho01
20,Whitey Skoog,SG,5-11,180,November 2 1926,us,1,Minnesota,skoogwh01
16,Bob Harrison,SG,6-1,190,August 12 1927,us,2,Michigan,harribo02
11,Lew Hitch,PF,6-8,200,July 16 1929,us,R,Kansas State,hitchle01
4 15,Joe Hutton,SG,6-1,170,October 6 1928,us,1,Hamline University,huttojo01
22,Slater Martin,PG,5-10,170,October 22 1925,us,2,Texas,martisl01
99,George Mikan,C,6-10,245,June 18 1924,us,3,DePaul,mikange01
19,Vern Mikkelsen,PF,6-7,230,October 21 1928,us,2,Hamline University,mikkeve01
18,John Pilch,F,6-3,185,July 11 1925,us,R,Wyoming,pilchjo01
17,Jim Pollard,SF,6-4,185,July 9 1922,us,3,Stanford,pollaji01
18,Pep Saul,SG,6-2,185,February 16 1924,us,2,Seton Hall,saulpe01
12,Howie Schultz,PF,6-6,200,July 3 1922,us,1,Hamline University,schulho01
20,Whitey Skoog,SG,5-11,180,November 2 1926,us,R,Minnesota,skoogwh01
19,Bill Calhoun,SG,6-3,180,November 4 1927,us,2,City College of San Francisco,calhobi01
10,Jack Coleman,PF,6-7,195,May 23 1924,us,1,Louisville,colemja01
11,Bob Davies,PG,6-1,175,January 15 1920,us,2,Seton Hall,daviebo01
16,Red Holzman,PG,5-10,175,August 10 1920,us,2,City College of New York,holzmre01
12,Arnie Johnson,SF,6-5,236,May 16 1920,us,2,Bemidji State University,johnsar01
20,Joe McNamee,SF,6-6,210,September 24 1926,us,R,San Francisco,mcnamjo01
18,Ed Mikan,C,6-8,230,October 20 1925,us,2,DePaul,mikaned01
07 15,Paul Noel,F,6-4,185,August 17 1924,us,3,Kentucky,noelpa01
14,Arnie Risen,C,6-9,200,October 9 1924,us,2,Ohio State,risenar01
03,Pep Saul,SG,6-2,185,February 16 1924,us,1,Seton Hall,saulpe01
09,Bobby Wanzer,G,6-0,170,June 4 1921,us,2,Seton Hall,wanzebo01
15,Don Carlson,G-F,6-0,170,March 22 1919,us,2,Minnesota,carlsdo01
18,Arnie Ferrin,F-G,6-2,180,July 29 1925,us,1,Utah,ferriar01
20,Normie Glick,F,6-7,190,November 10 1927,us,R,Loyola Marymount,glickno01
14 20,Bud Grant,F,6-3,195,May 20 1927,us,R,Minnesota,grantbu01
16,Bob Harrison,G,6-1,190,August 12 1927,us,R,Michigan,harribo02
11,Billy Hassett,G,5-11,180,October 21 1921,us,R,Notre Dame,hassebi01
13,Tony Jaros,F-G,6-3,185,February 22 1920,us,2,Minnesota,jarosto01
22,Slater Martin,PG,5-10,170,October 22 1925,us,R,Texas,martisl01
99,George Mikan,C,6-10,245,June 18 1924,us,1,DePaul,mikange01
19,Vern Mikkelsen,PF,6-7,230,October 21 1928,us,R,Hamline University,mikkeve01
17,Jim Pollard,SF,6-4,185,July 9 1922,us,1,Stanford,pollaji01
10,Herm Schaefer,G-F,6-0,175,December 20 1918,us,1,Indiana,schaehe01
12,Gene Stump,F-G,6-2,185,November 13 1923,,2,DePaul,stumpge01
14,Paul Walther,SG,6-2,160,March 23 1927,us,R,Tennessee,walthpa01
11,Mike Bloom,F-C,6-6,190,January 14 1915,us,1,Temple,bloommi01
15,Don Carlson,G-F,6-0,170,March 22 1919,us,1,Minnesota,carlsdo01
19,Jack Dwan,F-G,6-4,200,May 3 1921,us,R,Loyola Chicago,dwanja01
18,Ray Ellefson,C,6-8,230,November 18 1922,us,R,West Texas A&M University,ellefra01
18,Arnie Ferrin,F-G,6-2,180,July 29 1925,us,R,Utah,ferriar01
22,Donnie Forman,G,5-10,175,January 17 1926,us,R,NYU,formado01
14,Earl Gardner,F,6-3,195,September 18 1923,,R,DePauw University,gardnea01
13,Tony Jaros,F-G,6-3,185,February 22 1920,us,1,Minnesota,jarosto01
16,Johnny Jorgensen,G-F,6-2,185,December 28 1921,us,1,DePaul,jorgejo01
20,Whitey Kachan,G,6-2,175,September 15 1925,us,R,DePaul,kachawh01
99,George Mikan,C,6-10,245,June 18 1924,us,R,DePaul,mikange01
17,Jim Pollard,SF,6-4,185,July 9 1922,us,R,Stanford,pollaji01
24,Herm Schaefer,G-F,6-0,175,December 20 1918,us,R,Indiana,schaehe01
12,Don Smith,G-F,6-2,190,July 27 1920,us,R,Minnesota,smithdo01
19,Jack Tingle,F,6-4,205,December 30 1924,us,1,Kentucky,tinglja01
31,John Abramovic,F,6-3,195,February 9 1919,us,1,Salem University,abramjo01
28,Mike Bloom,F-C,6-6,190,January 14 1915,us,R,Temple,bloommi01
23,Herm Fuetsch,G,6-0,170,July 6 1918,,R,,fuetshe01
30,Elmer Gainer,F-C,6-6,195,November 22 1918,us,R,DePaul,gaineel01
29,Kleggie Hermsen,C-F,6-9,225,March 12 1923,us,1,Minnesota,hermskl01
32,Paul Hoffman,G-F,6-2,195,April 12 1925,,R,Purdue,hoffmpa01
26,Buddy Jeannette,G,5-11,175,September 15 1917,us,R,Washington & Jefferson College,jeannbu01
,Johnny Jorgensen,G-F,6-2,185,December 28 1921,us,R,DePaul,jorgejo01
20,Herm Klotz,G,5-7,150,October 21 1921,us,R,Villanova,klotzhe01
35,Grady Lewis,F-C,6-7,215,March 25 1917,us,1,Oklahoma,lewisgr01
33,Chet McNabb,F,6-2,200,September 19 1920,,R,Arizona State,mcnabch01
31,Carl Meinhold,G-F,6-2,185,March 29 1926,us,R,Long Island University,meinhca01
27,Chick Reiser,G-F,5-11,165,December 17 1914,us,R,NYU,reisech01
35,Irv Rothenberg,C,6-7,215,December 31 1921,us,1,Long Island University,rotheir01
,Jerry Rullo,G,5-10,165,June 23 1923,us,1,Temple,rulloje01
21,Dick Schulz,F-G,6-2,192,January 3 1917,us,1,Wisconsin,schuldi01
24,Paul Seymour,G-F,6-1,180,January 30 1928,us,R,Toledo,seymopa01
33,Connie Simmons,C-F,6-8,222,March 15 1925,us,1,,simmoco01
12,Howie Dallmar,F,6-4,200,May 24 1922,us,R,Stanford,dallmho01
6,Jerry Fleishman,SG,6-2,190,February 14 1922,us,R,NYU,fleisje01
10,Joe Fulks,PF,6-5,190,October 26 1921,us,R,Murray State,fulksjo01
14,Matt Guokas,F,6-3,195,November 11 1915,us,R,Saint Joseph's,guokama01
18,Art Hillhouse,C,6-7,220,June 12 1916,us,R,Long Island University,hillhar01
9,Ralph Kaplowitz,G-F,6-2,170,May 18 1919,us,R,NYU,kaplora01
9,John Murphy,F,6-2,175,September 13 1924,us,R,,murphjo01
5,Angelo Musi,G,5-9,145,July 25 1918,us,R,Temple,musian01
15,Petey Rosenberg,G,5-10,165,April 7 1918,us,R,Saint Joseph's,rosenpe01
7,Jerry Rullo,G,5-10,165,June 23 1923,us,R,Temple,rulloje01
8,George Senesky,PG,6-2,179,April 4 1922,us,R,Saint Joseph's,senesge01
4,Fred Sheffield,F,6-2,165,November 5 1923,us,R,Utah,shefffr01
